# Programme: DCG_YugeStr
sets,reps,weight,type,rpe,intensity
Day,1
Flat Bench
1,16,50.0,Default,6.91,54.22
1,14,52.5,Default,6.79,57.17
1,12,55.0,AMRAP,6.51,60.46
Wrist Extension
1,14,6.0,AMRAP,8.5,58.14
2,16,5.0,AMRAP,4.96,52.26
1,12,5.0,Opt AMRAP EMOM,2.98,51.88
Wrist Curl
1,14,6.0,AMRAP,8.5,58.14
2,16,5.0,AMRAP,4.96,52.26
1,12,5.0,Opt AMRAP EMOM,2.98,51.88
Kroc Row
1,16,22.5,Default,6.34,54.22
1,14,22.5,Default,5.01,57.17
1,12,25.0,AMRAP,6.21,60.46
Dragon Flag
5,12,7.5,AMRAP,10.0,80.0
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.0,80.0
Lunge, Walking, Backstep, Dragon
1,12,30.0,AMRAP,8.35,61.47
2,14,25.0,AMRAP,4.88,55.15
1,10,25.0,Opt AMRAP EMOM,2.74,55.44
Face Pull
1,14,17.5,AMRAP,7.6,58.14
2,16,15.0,AMRAP,4.96,52.26
1,12,15.0,Opt AMRAP EMOM,2.98,51.88
Day,2
Front Squat
1,16,42.5,Default,6.43,54.22
1,14,45.0,Default,6.54,57.17
1,12,47.5,AMRAP,6.47,60.46
Overhead Press
1,16,32.5,Default,6.97,54.22
1,14,32.5,Default,5.55,57.17
1,12,35.0,AMRAP,5.99,60.46
Archer Pullup
1,12,0.0,AMRAP,NaN,61.47
2,14,0.0,AMRAP,NaN,55.15
1,10,0.0,Opt AMRAP EMOM,NaN,55.44
Back Lever, Straddle
5,12,10.0,AMRAP,10.0,80.0
Calf Raise, Standing
1,14,12.5,AMRAP,9.86,58.14
2,16,10.0,AMRAP,4.96,52.26
1,12,10.0,Opt AMRAP EMOM,2.98,51.88
Finger Curl
1,14,12.5,AMRAP,9.86,58.14
2,16,10.0,AMRAP,4.96,52.26
1,12,10.0,Opt AMRAP EMOM,2.98,51.88
Leg Raise
1,12,10.0,AMRAP,10.0,61.47
2,14,5.0,AMRAP,1.71,55.15
1,10,5.0,Opt AMRAP EMOM,1.03,55.44
Day,3
Deadlift
1,16,87.5,Default,6.8,54.22
1,14,92.5,Default,6.87,57.17
1,12,97.5,AMRAP,6.77,60.46
Single Leg Hip Thrust
1,16,5.0,Default,4.96,54.22
1,14,5.0,Default,3.9,57.17
1,12,5.0,AMRAP,2.98,60.46
Side Raise
1,14,7.5,AMRAP,8.5,58.14
2,16,5.0,AMRAP,2.12,52.26
1,12,5.0,Opt AMRAP EMOM,1.35,51.88
Dips
1,12,8.75,AMRAP,10.0,61.47
2,14,6.25,AMRAP,3.9,55.15
1,10,6.25,Opt AMRAP EMOM,2.2,55.44
Bulgarian Split Squat
1,12,25.0,AMRAP,10.0,61.47
2,14,20.0,AMRAP,5.18,55.15
1,10,20.0,Opt AMRAP EMOM,2.91,55.44
Plate Pinch
1,14,17.5,AMRAP,10.0,58.14
2,16,12.5,AMRAP,3.35,52.26
1,12,12.5,Opt AMRAP EMOM,2.04,51.88
Zottman Curl
1,14,7.5,AMRAP,8.5,58.14
2,16,5.0,AMRAP,2.12,52.26
1,12,5.0,Opt AMRAP EMOM,1.35,51.88
Parallette Crunch
1,12,10.0,AMRAP,10.0,61.47
2,14,7.5,AMRAP,3.9,55.15
1,10,7.5,Opt AMRAP EMOM,2.2,55.44
Day,4
Rest
Day,5
Close Grip Bench
1,16,50.0,Default,6.91,54.22
1,14,52.5,Default,6.79,57.17
1,12,55.0,AMRAP,6.51,60.46
Wrist Extension
1,14,6.0,AMRAP,8.5,58.14
2,16,5.0,AMRAP,4.96,52.26
1,12,5.0,Opt AMRAP EMOM,2.98,51.88
Wrist Curl
1,14,6.0,AMRAP,8.5,58.14
2,16,5.0,AMRAP,4.96,52.26
1,12,5.0,Opt AMRAP EMOM,2.98,51.88
Pendlay Row, Cheat
1,16,70.0,Default,6.28,54.22
1,14,75.0,Default,6.71,57.17
1,12,80.0,AMRAP,6.96,60.46
Land Mine Anti-Rotation
1,12,32.5,AMRAP,9.3,61.47
2,14,27.5,AMRAP,5.93,55.15
1,10,27.5,Opt AMRAP EMOM,3.37,55.44
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.0,80.0
Lunge, Walking, Backstep, Dragon
1,12,30.0,AMRAP,8.35,61.47
2,14,25.0,AMRAP,4.88,55.15
1,10,25.0,Opt AMRAP EMOM,2.74,55.44
Face Pull
1,14,17.5,AMRAP,7.6,58.14
2,16,15.0,AMRAP,4.96,52.26
1,12,15.0,Opt AMRAP EMOM,2.98,51.88
Day,6
Low Bar Squat
1,16,60.0,Default,5.96,54.22
1,14,65.0,Default,6.67,57.17
1,12,67.5,AMRAP,6.15,60.46
Dumbell Overhead Press
1,16,25.0,Default,4.96,54.22
1,14,27.5,Default,5.93,57.17
1,12,30.0,AMRAP,6.77,60.46
Pullup
1,12,8.75,AMRAP,10.0,61.47
2,14,6.25,AMRAP,3.9,55.15
1,10,6.25,Opt AMRAP EMOM,2.2,55.44
Back Lever, Straddle
