# Name,Date,Reps,Weight,RPE
Kroc Row,01/01/0000,-1.0,-1.0,-1.0
Wrist Extension,01/01/0000,-1.0,-1.0,-1.0
Pullup,01/01/0000,-1.0,-1.0,-1.0
Deadlift,01/01/0000,-1.0,-1.0,-1.0
Hammer Curl,01/01/0000,-1.0,-1.0,-1.0
Leg Raise,01/01/0000,-1.0,-1.0,-1.0
Parallette Crunch,01/01/0000,-1.0,-1.0,-1.0
V-Sit,01/01/0000,-1.0,-1.0,-1.0
Land Mine Anti-Rotation,01/01/0000,-1.0,-1.0,-1.0
Low Bar Squat,01/01/0000,-1.0,-1.0,-1.0
Face Pull,01/01/0000,-1.0,-1.0,-1.0
Zottman Curl,01/01/0000,-1.0,-1.0,-1.0
Back Lever,01/01/0000,-1.0,-1.0,-1.0
Wrist Curl,01/01/0000,-1.0,-1.0,-1.0
Overhead Press,01/01/0000,-1.0,-1.0,-1.0
Flat Bench,01/01/0000,-1.0,-1.0,-1.0
DB Incline Bench,01/01/0000,-1.0,-1.0,-1.0
Finger Curl,01/01/0000,-1.0,-1.0,-1.0
Pendlay Row,01/01/0000,-1.0,-1.0,-1.0
Front Squat,01/01/0000,-1.0,-1.0,-1.0
Ab Rollout,01/01/0000,-1.0,-1.0,-1.0
Calf Raise,01/01/0000,-1.0,-1.0,-1.0
Plate Pinch,01/01/0000,-1.0,-1.0,-1.0
Dragon Flag,01/01/0000,-1.0,-1.0,-1.0
Bulgarian Split Squat,01/01/0000,-1.0,-1.0,-1.0
Sumo Deadlift,01/01/0000,-1.0,-1.0,-1.0
Close Grip Bench,01/01/0000,-1.0,-1.0,-1.0
Dips,01/01/0000,-1.0,-1.0,-1.0
Side Raise,01/01/0000,-1.0,-1.0,-1.0
Front Lever,01/01/0000,-1.0,-1.0,-1.0
Toes to Bar,01/01/0000,-1.0,-1.0,-1.0
Lunge,01/01/0000,-1.0,-1.0,-1.0
