# Programme: nSuns CAP3 + OHP 6 Day LP Hybrid
sets,reps,weight,type,rpe,intensity
Day,1
Flat Bench
4,4,67.5,Default,4.7,73.5
2,4,72.5,Default,6.92,73.5
1,4,75.0,AMRAP,8.02,73.5
Close Grip Bench
1,10,55.0,AMRAP,10.0,71.71
1,8,50.0,AMRAP,6.26,66.91
1,5,50.0,AMRAP EMOM,3.41,66.91
Wrist Curl
4,15,7.0,AMRAP,10.0,61.09
Wrist Extension
4,15,7.0,AMRAP,10.0,61.09
Dragon Flag
5,12,7.5,AMRAP,10.0,80.0
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.0,80.0
Lunge, Walking, Backstep, Dragon
1,6,35.0,AMRAP,7.26,73.09
3,8,30.0,AMRAP,4.79,68.33
1,4,35.0,Opt AMRAP EMOM,4.99,76.15
Face Pull
1,10,20.0,AMRAP,8.2,64.16
3,12,17.5,AMRAP,5.99,60.46
1,8,17.5,Opt AMRAP EMOM,3.15,66.07
Leg Raise
1,8,10.0,AMRAP,10.0,68.33
3,10,7.5,AMRAP,5.15,64.16
1,6,7.5,Opt AMRAP EMOM,2.33,70.75
Day,2
Sumo Deadlift
4,5,100.0,Default,5.21,73.0
4,4,107.5,Default,6.27,74.0
1,4,112.5,Optional,7.73,75.5
Kroc Row
1,6,35.0,AMRAP,10.0,79.28
1,4,30.0,AMRAP,3.78,75.3
1,3,30.0,AMRAP EMOM,2.65,75.3
Side Raise
1,10,10.0,AMRAP,10.0,64.16
3,12,7.5,AMRAP,6.77,60.46
1,8,7.5,Opt AMRAP EMOM,3.65,66.07
Hammer Curl
1,10,15.0,AMRAP,10.0,64.16
3,12,10.0,AMRAP,2.98,60.46
1,8,12.5,Opt AMRAP EMOM,4.53,66.07
DB Incline Bench
1,6,35.0,AMRAP,9.0,75.42
3,8,30.0,AMRAP,6.26,70.54
1,4,35.0,Opt AMRAP EMOM,6.68,78.56
Plate Pinch
4,15,17.5,AMRAP,10.0,61.09
Zottman Curl
1,10,10.0,AMRAP,10.0,64.16
3,12,7.5,AMRAP,6.77,60.46
1,8,7.5,Opt AMRAP EMOM,3.65,66.07
V-Sit
5,12,7.5,AMRAP,10.0,80.0
Day,3
Low Bar Squat
4,3,90.0,Default,5.63,77.0
2,3,97.5,Default,8.24,77.0
1,3,97.5,Optional,8.24,77.0
1,3,102.5,Default,9.85,77.0
Overhead Press
1,6,30.0,Default,0.99,50.0
1,5,37.5,Default,2.24,60.0
1,3,42.5,Default,2.73,70.0
1,5,42.5,Default,4.96,70.0
1,7,42.5,Default,7.09,70.0
1,4,42.5,Default,3.87,70.0
1,6,42.5,Default,6.04,70.0
1,8,42.5,Default,8.13,70.0
Back Lever, Straddle
5,12,10.0,AMRAP,10.0,80.0
Pullup
1,6,10.0,AMRAP,9.92,73.09
3,8,7.5,AMRAP,3.65,68.33
1,4,8.75,Opt AMRAP EMOM,3.56,76.15
Calf Raise, Standing
1,12,12.5,AMRAP,8.02,58.36
3,14,10.0,AMRAP,3.9,55.15
1,10,10.0,Opt AMRAP EMOM,2.2,59.64
Finger Curl
4,15,12.5,AMRAP,10.0,61.09
Dips
1,6,10.0,AMRAP,9.92,75.42
3,8,8.75,AMRAP,7.76,70.54
1,4,8.75,Opt AMRAP EMOM,3.56,78.56
Ab Rollout, Kneeling
5,12,7.5,AMRAP,10.0,80.0
Day,4
Flat Bench
5,6,62.5,Default,4.7,68.0
2,5,70.0,Default,6.98,68.0
1,5,72.5,AMRAP,8.11,71.0
Close Grip Bench
1,8,57.5,AMRAP,10.0,75.3
1,6,52.5,AMRAP,5.68,71.71
1,4,52.5,AMRAP EMOM,3.56,71.71
Wrist Curl
4,15,7.0,AMRAP,10.0,61.09
Wrist Extension
4,15,7.0,AMRAP,10.0,61.09
Land Mine Anti-Rotation
1,10,32.5,AMRAP,7.4,61.98
3,12,27.5,AMRAP,4.57,58.36
1,8,30.0,Opt AMRAP EMOM,3.65,63.69
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.0,80.0
Bulgarian Split Squat
1,6,27.5,AMRAP,7.11,73.09
3,8,25.0,AMRAP,6.26,68.33
1,4,27.5,Opt AMRAP EMOM,4.85,76.15
Face Pull
1,10,20.0,AMRAP,8.2,64.16
3,12,17.5,AMRAP,5.99,60.46
1,8,17.5,Opt AMRAP EMOM,3.15,66.07
Toes to Bar
5,12,7.5,AMRAP,10.0,80.0
Day,5
Rest
Day,6
Deadlift
1,6,130.0,Test,9.92,79.5
1,4,137.5,Test,9.4,83.5
1,2,145.0,Test,8.61,88.5
Pendlay Row, Cheat
1,12,90.0,Default,10.0,66.91
3,10,82.5,Default,6.13,62.72
Side Raise
1,10,10.0,AMRAP,10.0,64.16
3,12,7.5,AMRAP,6.77,60.46
1,8,7.5,Opt AMRAP EMOM,3.65,66.07
Hammer Curl
1,10,15.0,AMRAP,10.0,64.16
3,12,10.0,AMRAP,2.98,60.46
1,8,12.5,Opt AMRAP EMOM,4.53,66.07
DB Incline Bench
1,6,35.0,AMRAP,9.0,75.42
