# Programme: DCG_CAP4
sets,reps,weight,type,rpe,intensity
Day,1
Flat Bench
4,4,70.0,Default,3.56,72.47
2,4,75.0,Default,5.53,77.35
1,4,77.5,AMRAP,6.56,79.79
Close Grip Bench
1,10,65.0,AMRAP,7.4,66.25
1,8,65.0,AMRAP,5.54,66.07
1,5,67.5,AMRAP EMOM,3.7,69.66
Wrist Curl
4,15,62.0,AMRAP,10.0,61.09
Wrist Extension
4,15,62.0,AMRAP,10.0,61.09
Dragon Flag
5,12,80.0,AMRAP,10.0,80.0
Front Lever
5,12,80.0,AMRAP,10.0,80.0
Lunge, Walking, Backstep, Dragon
1,4,85.0,AMRAP,9.55,84.87
2,6,77.5,AMRAP,8.88,75.42
1,3,80.0,Opt AMRAP EMOM,6.34,77.96
Face Pull
3,10,52.5,AMRAP,2.71,53.67
Leg Raise
1,8,72.5,AMRAP,8.89,71.64
2,10,65.0,AMRAP,7.4,64.16
1,6,65.0,Opt AMRAP EMOM,3.75,67.06
Leg Raise
1,10,67.5,AMRAP,8.6,65.21
2,12,57.5,AMRAP,5.61,58.36
1,8,57.5,Opt AMRAP EMOM,2.92,59.52
Day,2
Sumo Deadlift
4,5,72.5,Default,5.65,73.35
4,4,77.5,Default,6.56,78.56
1,4,80.0,Optional,7.59,81.03
Pendlay Row, Cheat
1,6,77.5,AMRAP,8.88,77.78
1,4,77.5,AMRAP,6.56,78.56
1,3,77.5,AMRAP EMOM,5.31,79.17
Side Raise
1,12,62.5,AMRAP,8.02,61.47
2,14,55.0,AMRAP,5.93,55.15
1,10,55.0,Opt AMRAP EMOM,3.37,55.44
Hammer Curl
3,10,52.5,AMRAP,2.71,53.67
DB Incline Bench
1,8,72.5,AMRAP,8.89,71.64
2,10,65.0,AMRAP,7.4,64.16
1,6,65.0,Opt AMRAP EMOM,3.75,67.06
Plate Pinch
4,15,62.5,AMRAP,10.0,61.09
Zottman Curl
3,10,52.5,AMRAP,2.71,53.67
V-Sit
5,12,80.0,AMRAP,10.0,80.0
Day,3
Low Bar Squat
4,3,75.0,Default,4.29,76.74
2,3,80.0,Default,6.34,80.39
1,3,80.0,Optional,6.34,80.39
1,3,82.5,Default,7.35,84.16
Overhead Press
3,10,47.5,Default,1.79,48.86
Back Lever
5,12,80.0,AMRAP,10.0,80.0
Pullup
3,6,62.5,AMRAP,2.96,62.63
Calf Raise, Standing
1,10,67.5,AMRAP,8.6,67.29
2,12,62.5,AMRAP,8.02,60.46
1,8,60.0,Opt AMRAP EMOM,3.65,62.41
Finger Curl
4,15,62.5,AMRAP,10.0,61.09
Dips
1,8,72.5,AMRAP,8.89,71.64
2,10,65.0,AMRAP,7.4,64.16
1,6,66.25,Opt AMRAP EMOM,4.19,67.06
Ab Rollout, Kneeling
5,12,80.0,AMRAP,10.0,80.0
Day,4
Flat Bench
5,6,67.5,Default,4.67,68.33
2,5,72.5,Default,5.65,74.54
1,5,75.0,AMRAP,6.69,76.92
Close Grip Bench
1,8,70.0,AMRAP,7.76,71.64
1,6,70.0,AMRAP,5.68,71.92
1,4,72.5,AMRAP EMOM,4.51,73.72
Wrist Curl
4,15,62.0,AMRAP,10.0,61.09
Wrist Extension
4,15,62.0,AMRAP,10.0,61.09
Land Mine Anti-Rotation
1,8,72.5,AMRAP,8.89,71.64
2,10,65.0,AMRAP,7.4,64.16
1,6,65.0,Opt AMRAP EMOM,3.75,67.06
Front Lever
5,12,80.0,AMRAP,10.0,80.0
Bulgarian Split Squat
1,6,77.5,AMRAP,8.88,76.59
2,8,70.0,AMRAP,7.76,68.33
1,4,70.0,Opt AMRAP EMOM,3.56,72.47
Face Pull
3,10,52.5,AMRAP,2.71,53.67
Toes to Bar
5,12,80.0,AMRAP,10.0,80.0
Day,5
Rest
Day,6
Deadlift
1,3,35.0,Default,0.14,35.04
1,5,50.0,Default,0.76,50.06
1,1,65.0,Default,0.0,65.0
1,6,77.5,Test,8.88,77.78
1,4,82.5,Test,8.59,83.56
1,2,90.0,Test,8.89,90.31
1,3,65.0,Default,1.31,65.01
1,8,50.0,AMRAP,1.54,50.0
Kroc Row
1,12,60.0,Default,6.77,61.47
3,10,62.5,Default,6.23,63.08
Side Raise
1,12,62.5,AMRAP,8.02,61.47
2,14,55.0,AMRAP,5.93,55.15
1,10,55.0,Opt AMRAP EMOM,3.37,55.44
Hammer Curl
3,10,52.5,AMRAP,2.71,53.67
DB Incline Bench
1,8,72.5,AMRAP,8.89,71.64
2,10,65.0,AMRAP,7.4,64.16
1,6,65.0,Opt AMRAP EMOM,3.75,67.06
Plate Pinch
4,15,62.5,AMRAP,10.0,61.09
Zottman Curl
3,10,52.5,AMRAP,2.71,53.67
V-Sit
5,12,80.0,AMRAP,10.0,80.0
Day,7
Overhead Press
3,10,47.5,Default,1.79,48.86
Front Squat
4,5,70.0,Default,4.63,72.15
4,4,75.0,Default,5.53,77.35
1,4,80.0,Optional,7.59,82.28
Back Lever
5,12,80.0,AMRAP,10.0,80.0
Pullup
3,6,62.5,AMRAP,2.96,62.63
Calf Raise, Standing
