# Programme: nSunsCAP3_RPE
sets,reps,weight,type,rpe,intensity
Day,1
Flat Bench
4,4,65.0,Default,3.66,72.47
2,4,70.0,Default,5.81,77.35
1,4,72.5,AMRAP,6.92,79.79
Close Grip Bench
1,10,47.5,AMRAP,6.62,66.25
1,8,47.5,AMRAP,4.86,66.07
1,5,50.0,AMRAP EMOM,3.41,69.66
Wrist Curl
4,15,7.0,AMRAP,10.0,61.09
Wrist Extension
4,15,7.0,AMRAP,10.0,61.09
Dragon Flag
5,12,7.5,AMRAP,10.0,80.0
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.0,80.0
Lunge, Walking, Backstep, Dragon
1,6,37.5,AMRAP,9.49,76.59
2,8,32.5,AMRAP,7.04,68.33
1,4,32.5,Opt AMRAP EMOM,3.02,72.47
Face Pull
1,10,22.5,AMRAP,10.0,67.29
2,12,20.0,AMRAP,10.0,60.46
1,8,17.5,Opt AMRAP EMOM,3.15,62.41
Leg Raise
1,8,10.0,AMRAP,10.0,71.64
2,10,10.0,AMRAP,10.0,64.16
1,6,7.5,Opt AMRAP EMOM,2.33,67.06
Day,2
Sumo Deadlift
4,5,102.5,Default,5.94,73.35
4,4,107.5,Default,6.27,78.56
1,4,112.5,Optional,7.73,81.03
Kroc Row
1,6,32.5,AMRAP,8.45,77.78
1,4,32.5,AMRAP,6.13,78.56
1,3,32.5,AMRAP EMOM,4.89,79.17
Side Raise
1,10,10.0,AMRAP,10.0,67.29
2,12,10.0,AMRAP,10.0,60.46
1,8,7.5,Opt AMRAP EMOM,3.65,62.41
Hammer Curl
1,10,15.0,AMRAP,10.0,67.29
2,12,12.5,AMRAP,8.02,60.46
1,8,10.0,Opt AMRAP EMOM,1.54,62.41
DB Incline Bench
1,6,37.5,AMRAP,10.0,78.98
2,8,32.5,AMRAP,8.76,70.54
1,4,35.0,Opt AMRAP EMOM,6.68,74.94
Plate Pinch
4,15,17.5,AMRAP,10.0,61.09
Zottman Curl
1,10,10.0,AMRAP,10.0,67.29
2,12,10.0,AMRAP,10.0,60.46
1,8,7.5,Opt AMRAP EMOM,3.65,62.41
V-Sit
5,12,7.5,AMRAP,10.0,80.0
Day,3
Low Bar Squat
4,3,87.5,Default,4.73,76.74
2,3,90.0,Default,5.63,80.39
1,3,90.0,Optional,5.63,80.39
1,3,95.0,Default,7.39,84.16
Overhead Press
1,8,42.5,AMRAP,8.13,72.74
1,6,42.5,AMRAP,6.04,74.25
1,4,45.0,AMRAP EMOM,5.53,76.15
Back Lever, Straddle
5,12,10.0,AMRAP,10.0,80.0
Pullup
1,6,10.0,AMRAP,9.92,76.59
2,8,8.75,AMRAP,7.76,68.33
1,4,8.75,Opt AMRAP EMOM,3.56,72.47
Calf Raise, Standing
1,12,12.5,AMRAP,8.02,61.47
2,14,10.0,AMRAP,3.9,55.15
1,10,10.0,Opt AMRAP EMOM,2.2,55.44
Finger Curl
4,15,12.5,AMRAP,10.0,61.09
Dips
1,6,10.0,AMRAP,9.92,78.98
2,8,10.0,AMRAP,10.0,70.54
1,4,10.0,Opt AMRAP EMOM,7.59,74.94
Ab Rollout, Kneeling
5,12,7.5,AMRAP,10.0,80.0
Day,4
Flat Bench
5,6,62.5,Default,4.7,68.33
2,5,67.5,Default,5.84,74.54
1,5,70.0,AMRAP,6.98,76.92
Close Grip Bench
1,8,52.5,AMRAP,7.76,71.64
1,6,52.5,AMRAP,5.68,71.92
1,4,55.0,AMRAP EMOM,4.85,73.72
Wrist Curl
4,15,7.0,AMRAP,10.0,61.09
Wrist Extension
4,15,7.0,AMRAP,10.0,61.09
Land Mine Anti-Rotation
1,10,35.0,AMRAP,9.8,65.21
2,12,27.5,AMRAP,4.57,58.36
1,8,27.5,Opt AMRAP EMOM,2.34,59.52
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.0,80.0
Bulgarian Split Squat
1,4,32.5,AMRAP,10.0,84.87
2,6,30.0,AMRAP,9.92,75.42
1,3,30.0,Opt AMRAP EMOM,6.34,77.96
Face Pull
1,10,22.5,AMRAP,10.0,67.29
2,12,20.0,AMRAP,10.0,60.46
1,8,17.5,Opt AMRAP EMOM,3.15,62.41
Toes to Bar
5,12,7.5,AMRAP,10.0,80.0
Day,5
Rest
Day,6
Deadlift
1,6,125.0,Test,8.64,77.78
1,4,135.0,Test,8.81,83.56
1,2,145.0,Test,8.61,90.31
Pendlay Row, Cheat
1,12,80.0,Default,6.96,61.47
3,10,82.5,Default,6.13,63.08
Side Raise
1,10,10.0,AMRAP,10.0,67.29
2,12,10.0,AMRAP,10.0,60.46
1,8,7.5,Opt AMRAP EMOM,3.65,62.41
Hammer Curl
1,10,15.0,AMRAP,10.0,67.29
2,12,12.5,AMRAP,8.02,60.46
1,8,10.0,Opt AMRAP EMOM,1.54,62.41
DB Incline Bench
1,6,37.5,AMRAP,10.0,78.98
2,8,32.5,AMRAP,8.76,70.54
1,4,35.0,Opt AMRAP EMOM,6.68,74.94
Plate Pinch
4,15,17.5,AMRAP,10.0,61.09
Zottman Curl
1,10,10.0,AMRAP,10.0,67.29
